site,exp,block,sample.code,treat,treat1,treat2,MBC,BG,CB,NAG,PHOS,LAP,POX,PER
1,1,A,1,SWNP,summerwarm,ambient,508.36,280.24,97.8,12.49,422.01,197.47,395.37,271.92
1,1,A,2,control,ambient,ambient,693.99,352.87,106.07,20.72,433.8,194.45,476.82,286.11
1,1,A,3,SWIP,summerwarm,wet,639.69,222.3,103.56,19.38,444.27,221.06,479.12,120.97
1,1,A,4,NWDP,ambient,drought,505.64,193.8,55.02,9.02,322.8,159.13,440.31,214.52
1,1,A,5,SWDP,summerwarm,drought,471.97,156.58,57.81,16.02,369.1,185.44,471.77,223.1
1,1,A,6,NWIP,ambient,wet,712.75,190.99,64.3,14.55,390.82,170.39,505.57,208.95
1,1,D,19,SWIP,summerwarm,wet,643.89,91.43,21.36,1.03,294.71,97.72,409.99,213.43
1,1,D,20,NWIP,ambient,wet,681.82,173.05,39.48,2.18,229.8,118.15,494.35,199.28
1,1,D,21,SWDP,summerwarm,drought,439.83,163.54,41.75,2.25,269.5,136.98,522.72,312.04
1,1,D,22,control,ambient,ambient,468.69,120.7,26.5,9.35,280.01,144.21,384.23,245.57
1,1,D,23,SWNP,summerwarm,ambient,611.24,125.57,30.24,6.69,233.4,104.7,397.39,192.56
1,1,D,24,NWDP,ambient,drought,532.5,115.83,27.27,6.44,213.42,104.8,425.78,186.76
1,1,E,25,control,ambient,ambient,646.34,300.17,71.76,19.91,338.54,258.11,479.01,25.79
1,1,E,26,SWIP,summerwarm,wet,612.52,283.9,87.02,21.9,404.32,275.28,508.95,26.97
1,1,E,27,NWIP,ambient,wet,644.76,182.63,47.78,15.78,327.92,183.64,622.86,32.58
1,1,E,28,SWNP,summerwarm,ambient,578.74,347.24,108.51,18.2,368.2,217.79,233.28,379.25
1,1,E,29,NWDP,ambient,drought,534.36,186.37,68.45,9.7,264.37,150.75,268.23,280.74
1,1,E,30,SWDP,summerwarm,drought,556.6,262.29,105.7,20.68,365.22,239.35,225.92,445.87
1,1,F,31,SWDP,summerwarm,drought,466.54,67.7,15.43,4.76,176.4,104.61,242.49,330.2
1,1,F,32,NWDP,ambient,drought,513.35,177.11,64.59,8.44,247.27,176.09,225.85,397.97
1,1,F,33,SWNP,summerwarm,ambient,525.77,149.23,36.2,10.98,257.56,197.19,300.75,437.78
1,1,F,34,NWIP,ambient,wet,662.36,152.36,51.34,8.69,255.09,140.3,459.82,204.81
1,1,F,35,SWIP,summerwarm,wet,644.05,160.06,54.02,12.31,273.42,164.62,454.28,196.3
1,1,F,36,control,ambient,ambient,620.42,104.81,29.53,5.98,201.43,94.61,357.97,154.31
1,1,A,W1,WWNP,winterwawrm,ambient,NA,272.41,99.51,21.12,330.51,227.69,500.36,342.49
1,1,D,W3,WWNP,winterwawrm,ambient,NA,201.09,30.71,20.13,326.94,186.05,430.3,156.94
1,1,E,W4,WWNP,winterwawrm,ambient,NA,348.98,149.89,28.57,411.46,244.85,510.06,181.12
1,1,F,W5,WWNP,winterwawrm,ambient,NA,272.44,83.37,14.65,381.63,201.08,362.02,129.3
2,2,1,1,control,N0,P0,425.81,324.19,63.99,24.02,359.09,206.42,636.76,294.6
2,2,2,2,control,N0,P0,202.67,168.89,30.86,11.56,339.78,114.01,556.03,204.14
2,2,3,3,control,N0,P0,375.61,344.36,90.21,22.1,453.04,184.98,570.36,355.04
2,2,4,4,control,N0,P0,648.07,230.99,51.85,12.6,417.08,152.73,496.99,295.54
2,2,5,5,control,N0,P0,914.33,194.91,48.46,12.03,228.12,150.06,574.48,195.13
2,2,1,6,N100,N100,P0,163.44,233.93,57.47,14.56,281.21,149.44,515.34,245.14
2,2,2,7,N100,N100,P0,798.59,314.87,67.67,21.47,515.24,217.66,637.99,203.82
2,2,3,8,N100,N100,P0,455.66,315.26,73.61,11.77,454.38,198.52,518.17,248.02
2,2,4,9,N100,N100,P0,387.03,213.3,41.6,24.95,501.1,169.4,605.38,163.07
2,2,5,10,N100,N100,P0,123.21,178.47,36.7,13.88,406.05,140.63,554.31,146.66
