short.cite,locations,lat,long,alt,MAT,MAP,vege.type,Expt,Expt.treat,enzymes,enz.func,enz.code,units,CK,CK.sd,CK.sd2,CK.se,CK.N,treat,treat.sd,treat.sd2,treat.se,treat.N,sources,notes
gao2016,Hongyuan,33.1,102.6,3500,1.1,753,alpine meadow,Experiment 2,P,Urease,N cycling,URE,mg NH4-N/g/24h,16.01,,0.68,0.34,4,16.01,,1.02,0.51,4,Figure 3,NaH2PO4 (15 g P/m2/year)
gao2016,Hongyuan,33.1,102.6,3500,1.1,753,alpine meadow,Experiment 2,P,Acid phosphatase,P cycling,AP,mg phenol/g/24h,4.48,,0.46,0.23,4,4.31,,0.46,0.23,4,Figure 3,NaH2PO4 (15 g P/m2/year)
gao2016,Hongyuan,33.1,102.6,3500,1.1,753,alpine meadow,Experiment 2,P,Catalase,others,CAT,ml of 0.1 N KMnO4/g/20min,1.46,,0.06,0.03,4,1.53,,0.06,0.03,4,Figure 3,NaH2PO4 (15 g P/m2/year)
gao2016,Hongyuan,33.1,102.6,3500,1.1,753,alpine meadow,Experiment 2,P,Saccharase,C cycling,SAC,mg glucose/g/24h,20.65,,2.58,1.29,4,20.16,,1.94,0.97,4,Figure 3,NaH2PO4 (15 g P/m2/year)
jing2014,Haibei,37.6,101.2,3200,-1.1,485,alpine meadow,Experiment 1,warm,"alpha-1,4-glucosidase",C cycling,AG,nmol activity/g soil d.w./h,2.3085,,0.7536,0.3768,4,1.880171,,0.37404,0.18702,4,Figure 3,Infrared heater
jing2014,Haibei,37.6,101.2,3200,-1.1,485,alpine meadow,Experiment 1,warm,"beta-1,4-glucosidase",C cycling,BG,nmol activity/g soil d.w./h,14.08017261,,2.592686496,1.296343248,4,11.2387057,,0.694891874,0.347445937,4,Figure 3,Infrared heater
jing2014,Haibei,37.6,101.2,3200,-1.1,485,alpine meadow,Experiment 1,warm,beta-D-cellobiohydrolase,C cycling,CB,nmol activity/g soil d.w./h,3.284509106,,0.765992018,0.382996009,4,2.18175884,,0.3619243,0.18096215,4,Figure 3,Infrared heater
jing2014,Haibei,37.6,101.2,3200,-1.1,485,alpine meadow,Experiment 1,warm,Phenol oxidase,C cycling,POX,umol activity/g soil d.w./h,7.074899355,,1.766117108,0.883058554,4,10.47982417,,7.190651002,3.595325501,4,Figure 3,Infrared heater
jing2014,Haibei,37.6,101.2,3200,-1.1,485,alpine meadow,Experiment 1,warm,"beta-1,4-xylosidase",C cycling,BX,nmol activity/g soil d.w./h,4.280785628,,1.935766854,0.967883427,4,3.736844055,,0.856181222,0.428090611,4,Figure 3,Infrared heater
jing2016,Haibei,37.6,101.2,3200,-1.1,485,alpine meadow,Experiment 2,N,"alpha-1,4-glucosidase",C cycling,AG,nmol activity/g soil d.w./h,2.67,0.25,0.25,,5,2.73,0.36,0.36,,5,Table 4,N 100 kg/hm2/year
